paper_author,paper_title,paper_date,in_text_citation
OECD,Applying Evaluation Criteria Thoughtfully,2021,OECD 2021
Moderning Foreign Assistance Network,White Paper Recommendations: Building on a Legacy of Progress: Opportunities to Reform U.S. Foreign Assistance,2024,Moderning Foreign Assistance Network 2024
"Fanning, Emma; Fullwood-Thomas, Jessica",The Humanitarian-Development-Peace Nexus: What does it mean for multi-mandated organizations?,2019,Fanning et al. 2019
"Sarosi, Diana; Lhote Fernandes, Sandra",Feminist Aid: A call for G7 leaders to beat inequality,2019,Sarosi et al. 2019
"Saarinen, Hanna; Godfrey, Claire",Accountability Deficit? Assessing the effectiveness of private finance blending in ensuring that small-scale farmers are not left behind,2019,Saarinen et al. 2019
"Seery, Emma; Seghers, Julie",Hitting the Target: An agenda for aid in times of extreme inequality,2019,Seery et al. 2019
"Anglade, Marc; Cohen, Marc; Joseph, Tonny",USAID’s AVANSE Project in Haiti: An assessment of its conformity with aid effectiveness principles,2019,Anglade et al. 2019
"Hemsley, Matthew; Achilles, Kathryn",Aid in Limbo: Why Syrians deserve support to rebuild their lives,2019,Hemsley et al. 2019
"Shakun, Zorica; Sbeih, Tammam",Gender Perspectives on Humanitarian Programming in Syria,2018,Shakun et al. 2018
"Cohen, Marc J.; Mekuria, Tigist",Tracing Swedish Development Flows: A study of the traceability of Swedish aid to Tanzania,2018,Cohen et al. 2018
"Ayoub, Bachir; Mahdi, Dima",Making Aid Work in Lebanon: Promoting aid effectiveness and respect for rights in middle-income countries affected by mass displacement,2018,Ayoub et al. 2018
"Parrish, Chloe; Kattakuzhy, Anita",Money Talks: A synthesis report assessing humanitarian funding flows to local actors in Bangladesh and Uganda,2018,Parrish et al. 2018_1
UN Summit for the Future,Pact for the Future,2024,UN Summit for the Future 2024
"Parish, Simon; Cohen, Marc J.; Mekuria, Tigist",Follow the Money: Using International Aid Transparency Initiative data to trace development aid flows to their end use,2018,Parish et al. 2018
"Ceccarelli, Giorgia",Development – A Private Affair? The involvement of the Italian private sector in rural development cooperation programmes,2018,Ceccarelli 2018
"Parrish, Simon; Cohen, Marc J; Mecuria, Tigist",Tracing US Development Flows: A study of the traceability of US aid to Ghana,2018,Parrish et al. 2018_2
"Siegel, Michael",Mobilising Domestic Resources to Help Mali’s Poorest Populations: The role of French development aid,2017,Siegel 2017
"Alden, Chris","New Actors, New Models, New Outcomes? African countries’ engagement with China and other development partners in achieving the SDGs and Agenda 2063",2017,Alden 2017
"Hooijer, Hugo; Meijer, Madelon",Finance for a Fruitful Future: Dutch aid for agriculture 2005-2015,2017,Hooijer et al. 2017
"Saieh, Alexandra; Abi Khalil, Sally; Gorevan, Daniel",Making Aid To Jordan And Lebanon Work: Aid effectiveness in middle income countries affected by mass displacement,2017,Saieh et al. 2017
Oxfam,From Pledge to commitment: How should donors engage to reconstruct Central African Republic during the Brussels Conference?,2016,Oxfam 2016
"Ahmad, Tariq; Wainer, Andrew",The Power of Ownership: Transforming US foreign assistance,2016,Ahmad et al. 2016_1
"Adams, Gregory; Rosche, Daniela",Accountability and Ownership: The role of aid in a post-2015 world,2016,Adams et al. 2016
International Rescue Committee,The New World Disorder: Rethinking Aid in an Era of Scarcity,2026,International Rescue Committee 2026_1
"Cohen, Marc J.; Ferguson, Kevin; Gingerich, Tara R.; Scribner, Shannon",Righting the Wrong: Strengthening local humanitarian leadership to save lives and strengthen communities,2016,Cohen et al. 2016
"Baudot, Caroline","Solidarity with Syrians: action needed on aid, refuge, and to end the bloodshed",2015,Baudot 2015
"Cairns, Edmund",British aid and British arms: a coherent approach to Yemen?,2015,Cairns 2015
"Gingerich, Tara R.; Cohen, Marc Jacob; Oxfam International",Turning the humanitarian system on its head: saving lives and livelihoods by strengthening local capacity and shifting leadership to local actors,2015,Gingerich et al. 2015
"Ahmad, Tariq","To Fight Corruption, Localize Aid: How US foreign assistance can support a locally driven fight against corruption",2015,Ahmad 2015_1
"O'Neil, Glenn; Garay, Jana; Goldschmid, Patricia; Lienart, Laetitia; Roper, Laura; Ruano, George Ellis; Sarma, Nirupama; Schaepers, Ana Paula",Evaluation of the Global Leaders Empowered to Alleviate Poverty (LEAP) Program,2015,O'Neil et al. 2015
"Ayele, Sophia","The Indian Ocean tsunami, 10 years on: lessons from the response and ongoing humanitarian funding challenges",2014,Ayele 2014
"Grasset, Julia",CaLP case study: Unconditional cash transfers to reduce food insecurity for displaced households and assist in the repatriation of people to their villages of origin – Niger,2014,Grasset 2014
"Burnley, Jasmine; Pereira, Javier",Riding the Wave of Reform: Fast-tracking Myanmar’s future with good quality aid,2014,Burnley et al. 2014
The US Government's Global Hunger and Food Security Initiative,The Feed the Future Interagency Report 2024,2024,The US Government's Global Hunger and Food Security Initiative 2024
USAID,Exit Memo:  United States Agency for International Development,2025,USAID 2025
Bridgetown Initiative,BRIDGETOWN  INITIATIVE  ON THE REFORM OF  THE INTERNATIONAL  DEVELOPMENT AND  CLIMATE FINANCE  ARCHITECTURE,,Bridgetown Initiative n.d._1
Bridgetown Initiative,Making the Case for Climate and Nature Resilience Investments: The Need to Revise Growth and Debt Sustainability Frameworks,2025,Bridgetown Initiative 2025_1
Bridgetown Initiative,Swapping debt for resilience and development investments,2026,Bridgetown Initiative 2026
Bridgetown Initiative,From Risk to Resilience How Insurance Can Mobilise Disaster Finance and  Climate Investment in Vulnerable Economies,2025,Bridgetown Initiative 2025_2
Bridgetown Initiative,The Resilience Effect:  10 Super Levers to  Catalyse Finance in  Climate-Vulnerable  Countries,,Bridgetown Initiative n.d._2
Global Development Policy Center,V20 Debt Review (2nd Edition): An account of debt in the Vulnerable Group of Twenty,2024,Global Development Policy Center 2024
OECD,Applying a Human Rights and Gender Equality Lens to the OECD Evaluation Criteria,2023,OECD 2023_1
"Samantha Attridge; Svenstrup, Mary",Breaking the Bottlenecks:  G20 Priorities for Private Capital  Mobilization,2026,Attridge et al. 2026
"CALLEJA, RACHAEL; CICHOCKA, BEATA; BELLÉS, SARA CASADEVALL",What Will It Mean for Development  Agencies to Be Effective in the  Years Ahead?,2026,Calleja et al. 2026
BEATA CICHOCKA; SARA CASADEVALL BELLÉS; RACHAEL CALLEJA,Effectiveness in Practice What it Means and How it is Implemented  by Four Development Agencies,2025,Cichocka et al. 2025
"KELLER, JANEEN MADAN; LANDERS, CLEMENCE; ROCKAFELLOW, ROWAN",Financing at a Crossroads How the Global Fund Can Adapt to a Shrinking  Aid Landscape,2025,Keller et al. 2025
"MITCHELL, IAN; HUGHES, SAMUEL; EDWARD WICKSTEAD",UK Development Finance beyond ODA  Mapping and Assessing the UK’s Non-grant  Development Finance,2023,Mitchell et al. 2023
"MORRIS, SCOTT; ROCKAFELLOW, ROWAN; SINGH, DALEEP",Reimagining the US Sovereign  Loan Guarantee Program A Cost-Effective Strategy for Supporting  Developing Country Partners,2023,Morris et al. 2023
"Estes, Jocilyn; Collinson, Erin; Brownell, Julia","Deep Cuts, New Directions? Trump’s FY27 Budget and the Future of US Foreign Assistance",2026,Estes et al. 2026
"Alice Obrecht; Pearson, Mike",What new funding data tells us about donor decisions in 2025,2025,Obrecht et al. 2025
"Kumar, Claire; Hargrave, Karen; Craviotto, Nerea; Pudussery, Jessica",The case for development in 2025   Exploring new narratives for aid in the context of  the EU’s new strategic agenda,2025,Kumar et al. 2025
Annalisa Prizzon; Fatlum Zeka; Hayk Gyuzalyan; Arpine Aghjoyan,Reforming multilateral  development banks:  perspectives from client  countries,2026,Prizzon et al. 2026
OECD,DAC Quality Standards for Development Evaluation,2010,OECD 2010
Chris Humphrey; Chris McHugh,MDBs as an asset  class,2026,Humphrey et al. 2026_1
"Gilmour, Archie; Steadman, Shandelle; Amy Cano Prentice; Huda, Mirza Sadaqat",Transition finance  across G20 presidencies,2026,Gilmour et al. 2026
Nilima Gulrajani,Development narratives in a post-aid era Reflections on implications for the global effectiveness agenda,2022,Gulrajani 2022
"Humphrey, Chris; Pudussery, Jessica; Dahan, Frederique",Preferred creditor  treatment and  multilateral  development banks’ mobilisation agenda,2026,Humphrey et al. 2026_2
"Foster, Vivien; Islam, Roumeen; Chen, Yunnan; Calabrese, Linda",China’s infrastructure finance in  Africa  Impacts and lessons,2026,Foster et al. 2026
"Panwar, Vikrant; Wilkinson, Emily; Solanki, Aditi; Hurley, Gail",How Small Island Developing States  view their development partners  A perceptions survey,2026,Panwar et al. 2026
"Taylor, Jacob; Krishna, Kershlin",A constructive path to sustainable trade reform,2026,Taylor et al. 2026
"Grown, Caren; Mascagni, Giulia",Fiscal politics: The missing link between fiscal policy and gender equality,2025,Grown et al. 2025_1
Sejal Patel,Gearing national financial and governance systems for delivering locally led adaptation: The integration of care,2025,Patel 2025
"Coulibaly, Brahima Sangafowa; Abedin, Wafa; Zang, Omer",Mobilizing Africa’s resources for development,2026,Coulibaly et al. 2026
OECD,Glossary of Key Terms in Evaluation and Results-based Management in Sustainable Development (Second Edition),2023,OECD 2023_2
"Griffith, Este",Tracking federal expenditures in real time,2026,Griffith 2026
"Grown, Caren; Martinez, Laura","Introduction: Six themes and key recommendations for embedding gender equality, care, and climate in fiscal policy",2025,Grown et al. 2025_2
"Ingram, George; Pipa, Anthony F.",Locally led development in a time of disruption,2025,Ingram et al. 2025
"Bhattacharya, Amar; Kharas, Homi; Rivard, Charlotte; Soubeyran, Eleonore",From aid-driven to investment-driven models of sustainable development,2025,Bhattacharya et al. 2025
US Global Leadership Coalition,A Blueprint for America to Win in the World,2025,US Global Leadership Coalition 2025
USGLC,A ROADMAP FOR  U.S. GLOBAL LEADERSHIP,2021,USGLC 2021
International Rescue Committee,Rethinking Aid in an Era of Scarcity: IRC warns of widening “life-and-death” gap,2026,International Rescue Committee 2026_2
International Rescue Committee,A NEW ERA FOR AID: Prioritising people and protecting progress,2026,International Rescue Committee 2026_3
"Sabow, Adam; Craven, Matt; Wilson, Matt; Conway, Michael; Holt, Tania; Rochford, Connor; Anderson, Sarah",A generational shift: The future of foreign aid,2025,Sabow et al. 2025
Oxfam America,OXFAM AID COMPENDIUM,2022,Oxfam America 2022
OECD,Paris Declaration on Aid Effectiveness,2005,OECD 2005_1
